;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;-94;2018,7424;1,6338;0,2123;0,0000;0;0;944412
;-93;2018,7452;1,3723;0,1767;0,0000;0;0;944412
;-92;2018,7479;3,8639;0,6950;0,2087;0;0;944412
;-91;2018,7507;0,0000;0,0000;0,0000;0;0;944412
;-90;2018,7534;0,0000;0,0000;0,0000;0;0;944412
;-89;2018,7561;0,0271;0,0001;0,0000;0;0;944412
;-88;2018,7589;0,5942;0,1163;0,0418;0;0;944412
;-87;2018,7616;1,6426;0,2746;0,0593;0;0;944412
;-86;2018,7644;1,2956;0,1900;0,0222;0;0;944412
;-85;2018,7671;0,5062;0,0605;0,0010;0;0;944412
;-84;2018,7699;1,2573;0,1776;0,0147;0;0;944412
;-83;2018,7726;1,4961;0,2097;0,0139;0;0;944412
;-82;2018,7754;1,3465;0,1823;0,0069;0;0;944412
;-81;2018,7781;1,2259;0,1618;0,0028;0;0;944412
;-80;2018,7808;1,2808;0,1681;0,0014;0;0;944412
;-79;2018,7836;1,6002;0,2115;0,0007;0;0;944412
;-78;2018,7863;1,1935;0,1550;0,0001;0;0;944412
;-77;2018,7891;0,9166;0,1170;0,0000;0;0;944412
;-76;2018,7917;0,9483;0,1215;0,0000;0;0;944412
;-75;2018,7946;0,8879;0,1134;0,0000;0;0;944412
;-74;2018,7972;0,8961;0,1146;0,0000;0;0;944412
;-73;2018,8000;0,7717;0,0976;0,0000;0;0;944412
;-72;2018,8027;0,4994;0,0603;0,0000;0;0;944412
;-71;2018,8054;0,2568;0,0271;0,0000;0;0;944412
;-70;2018,8082;0,0000;0,0000;0,0000;0;0;944412
;-69;2018,8109;0,1456;0,0120;0,0000;0;0;944412
;-68;2018,8137;0,9758;0,1259;0,0000;0;0;944412
;-67;2018,8164;0,3006;0,0335;0,0000;0;0;944412
;-66;2018,8192;1,1222;0,1616;0,0349;0;0;944412
;-65;2018,8219;0,0000;0,0000;0,0000;0;0;944412
;-64;2018,8247;0,0000;0,0000;0,0000;0;0;944412
;-63;2018,8274;0,0000;0,0000;0,0000;0;0;944412
;-62;2018,8301;0,0000;0,0000;0,0000;0;0;944412
;-61;2018,8329;0,0000;0,0000;0,0000;0;0;944412
;-60;2018,8356;0,0000;0,0000;0,0000;0;0;944412
;-59;2018,8384;0,0000;0,0000;0,0000;0;0;944412
;-58;2018,8411;0,0235;0,0002;0,0000;0;0;944412
;-57;2018,8439;0,3191;0,0601;0,0215;0;0;944412
;-56;2018,8466;0,3154;0,0594;0,0213;0;0;944412
;-55;2018,8494;0,2935;0,0252;0,0053;0;0;944412
;-54;2018,8521;0,0724;0,0068;0,0012;0;0;944412
;-53;2018,8547;0,0014;0,0000;0,0000;0;0;944412
;-52;2018,8575;0,1439;0,0207;0,0055;0;0;944412
;-51;2018,8602;0,2504;0,0398;0,0121;0;0;944412
;-50;2018,8630;0,1817;0,0290;0,0087;0;0;944412
;-49;2018,8657;0,3116;0,0600;0,0224;0;0;944412
;-48;2018,8685;0,0608;0,0046;0,0008;0;0;944412
;-47;2018,8712;0,0021;0,0000;0,0000;0;0;944412
;-46;2018,8740;0,0000;0,0000;0,0000;0;0;944412
;-45;2018,8767;0,0000;0,0000;0,0000;0;0;944412
;-44;2018,8794;0,0000;0,0000;0,0000;0;0;944412
;-43;2018,8822;0,0000;0,0000;0,0000;0;0;944412
;-42;2018,8849;0,0000;0,0000;0,0000;0;0;944412
;-41;2018,8877;0,0000;0,0000;0,0000;0;0;944412
;-40;2018,8904;0,0000;0,0000;0,0000;0;0;944412
;-39;2018,8932;0,0000;0,0000;0,0000;0;0;944412
;-38;2018,8959;0,0000;0,0000;0,0000;0;0;944412
;-37;2018,8987;0,0000;0,0000;0,0000;0;0;944412
;-36;2018,9014;0,0000;0,0000;0,0000;0;0;944412
;-35;2018,9041;0,0000;0,0000;0,0000;0;0;944412
;-34;2018,9069;0,0000;0,0000;0,0000;0;0;944412
;-33;2018,9095;0,0000;0,0000;0,0000;0;0;944412
;-32;2018,9124;0,0000;0,0000;0,0000;0;0;944412
;-31;2018,9150;0,0000;0,0000;0,0000;0;0;944412
;-30;2018,9178;0,0000;0,0000;0,0000;0;0;944412
;-29;2018,9205;0,0000;0,0000;0,0000;0;0;944412
;-28;2018,9233;0,0000;0,0000;0,0000;0;0;944412
;-27;2018,9260;0,0000;0,0000;0,0000;0;0;944412
;-26;2018,9287;0,0000;0,0000;0,0000;0;0;944412
;-25;2018,9315;0,0000;0,0000;0,0000;0;0;944412
;-24;2018,9342;0,0000;0,0000;0,0000;0;0;944412
;-23;2018,9370;0,0000;0,0000;0,0000;0;0;944412
;-22;2018,9397;0,0000;0,0000;0,0000;0;0;944412
;-21;2018,9425;0,0000;0,0000;0,0000;0;0;944412
;-20;2018,9452;0,0000;0,0000;0,0000;0;0;944412
;-19;2018,9480;0,0000;0,0000;0,0000;0;0;944412
;-18;2018,9507;0,0000;0,0000;0,0000;0;0;944412
;-17;2018,9534;0,0000;0,0000;0,0000;0;0;944412
;-16;2018,9562;0,0000;0,0000;0,0000;0;0;944412
;-15;2018,9589;0,0000;0,0000;0,0000;0;0;944412
;-14;2018,9617;0,0000;0,0000;0,0000;0;0;944412
;-13;2018,9644;0,0000;0,0000;0,0000;0;0;944412
;-12;2018,9672;0,0000;0,0000;0,0000;0;0;944412
;-11;2018,9698;0,0000;0,0000;0,0000;0;0;944412
;-10;2018,9727;0,0000;0,0000;0,0000;0;0;944412
;-9;2018,9753;0,0000;0,0000;0,0000;0;0;944412
;-8;2018,9780;0,0000;0,0000;0,0000;0;0;944412
;-7;2018,9808;0,0000;0,0000;0,0000;0;0;944412
;-6;2018,9835;0,0000;0,0000;0,0000;0;0;944412
;-5;2018,9863;0,0000;0,0000;0,0000;0;0;944412
;-4;2018,9890;0,0000;0,0000;0,0000;0;0;944412
;-3;2018,9918;0,0000;0,0000;0,0000;0;0;944412
;-2;2018,9945;0,0000;0,0000;0,0000;0;0;944412
;-1;2018,9973;0,0000;0,0000;0,0000;0;0;944412
;0;2019,0000;0,0000;0,0000;0,0000;0;0;944412
;1;2019,0027;0,0000;0,0000;0,0000;0;0;944412
;2;2019,0055;0,0000;0,0000;0,0000;0;0;944412
;3;2019,0082;0,0000;0,0000;0,0000;0;0;944412
;4;2019,0110;0,0000;0,0000;0,0000;0;0;944412
;5;2019,0137;0,0000;0,0000;0,0000;0;0;944412
;6;2019,0165;0,0000;0,0000;0,0000;0;0;944412
;7;2019,0192;0,0000;0,0000;0,0000;0;0;944412
;8;2019,0220;0,0000;0,0000;0,0000;0;0;944412
;9;2019,0247;0,0000;0,0000;0,0000;0;0;944412
;10;2019,0273;0,0000;0,0000;0,0000;0;0;944412
;11;2019,0302;0,0000;0,0000;0,0000;0;0;944412
;12;2019,0328;0,0000;0,0000;0,0000;0;0;944412
;13;2019,0356;0,0000;0,0000;0,0000;0;0;944412
;14;2019,0383;0,0000;0,0000;0,0000;0;0;944412
;15;2019,0411;0,0000;0,0000;0,0000;0;0;944412
;16;2019,0438;0,0000;0,0000;0,0000;0;0;944412
;17;2019,0466;0,0000;0,0000;0,0000;0;0;944412
;18;2019,0493;0,0000;0,0000;0,0000;0;0;944412
;19;2019,0520;0,0000;0,0000;0,0000;0;0;944412
;20;2019,0548;0,0000;0,0000;0,0000;0;0;944412
;21;2019,0575;0,0000;0,0000;0,0000;0;0;944412
;22;2019,0603;0,0000;0,0000;0,0000;0;0;944412
