;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;-94;2018.7424;1.6338;0.1357;0.0000;0;0;711907
;-93;2018.7452;1.3723;0.1131;0.0000;0;0;711907
;-92;2018.7479;3.8639;0.4891;0.1803;0;0;711907
;-91;2018.7507;0.0000;0.0000;0.0000;0;0;711907
;-90;2018.7534;0.0000;0.0000;0.0000;0;0;711907
;-89;2018.7561;0.0271;0.0001;0.0000;0;0;711907
;-88;2018.7589;0.5942;0.0808;0.0330;0;0;711907
;-87;2018.7616;1.6426;0.1514;0.0141;0;0;711907
;-86;2018.7644;1.2956;0.1074;0.0003;0;0;711907
;-85;2018.7671;0.5062;0.0385;0.0000;0;0;711907
;-84;2018.7699;1.2573;0.1040;0.0000;0;0;711907
;-83;2018.7726;1.4961;0.1247;0.0000;0;0;711907
;-82;2018.7754;1.3465;0.1118;0.0000;0;0;711907
;-81;2018.7781;1.2259;0.1013;0.0000;0;0;711907
;-80;2018.7808;1.2808;0.1062;0.0000;0;0;711907
;-79;2018.7836;1.6002;0.1339;0.0000;0;0;711907
;-78;2018.7863;1.1935;0.0985;0.0000;0;0;711907
;-77;2018.7891;0.9166;0.0745;0.0000;0;0;711907
;-76;2018.7917;0.9483;0.0773;0.0000;0;0;711907
;-75;2018.7946;0.8879;0.0721;0.0000;0;0;711907
;-74;2018.7972;0.8961;0.0728;0.0000;0;0;711907
;-73;2018.8000;0.7717;0.0620;0.0000;0;0;711907
;-72;2018.8027;0.4994;0.0385;0.0000;0;0;711907
;-71;2018.8054;0.2568;0.0177;0.0000;0;0;711907
;-70;2018.8082;0.0000;0.0000;0.0000;0;0;711907
;-69;2018.8109;0.1456;0.0082;0.0000;0;0;711907
;-68;2018.8137;0.9758;0.0793;0.0000;0;0;711907
;-67;2018.8164;0.3006;0.0216;0.0000;0;0;711907
;-66;2018.8192;1.1222;0.1127;0.0315;0;0;711907
;-65;2018.8219;0.0000;0.0000;0.0000;0;0;711907
;-64;2018.8247;0.0000;0.0000;0.0000;0;0;711907
;-63;2018.8274;0.0000;0.0000;0.0000;0;0;711907
;-62;2018.8301;0.0000;0.0000;0.0000;0;0;711907
;-61;2018.8329;0.0000;0.0000;0.0000;0;0;711907
;-60;2018.8356;0.0000;0.0000;0.0000;0;0;711907
;-59;2018.8384;0.0000;0.0000;0.0000;0;0;711907
;-58;2018.8411;0.0235;0.0002;0.0001;0;0;711907
;-57;2018.8439;0.3191;0.0415;0.0173;0;0;711907
;-56;2018.8466;0.3154;0.0410;0.0172;0;0;711907
;-55;2018.8494;0.2935;0.0192;0.0053;0;0;711907
;-54;2018.8521;0.0724;0.0050;0.0012;0;0;711907
;-53;2018.8547;0.0014;0.0000;0.0000;0;0;711907
;-52;2018.8575;0.1439;0.0147;0.0050;0;0;711907
;-51;2018.8602;0.2504;0.0282;0.0107;0;0;711907
;-50;2018.8630;0.1817;0.0204;0.0077;0;0;711907
;-49;2018.8657;0.3116;0.0411;0.0177;0;0;711907
;-48;2018.8685;0.0608;0.0035;0.0008;0;0;711907
;-47;2018.8712;0.0021;0.0000;0.0000;0;0;711907
;-46;2018.8740;0.0000;0.0000;0.0000;0;0;711907
;-45;2018.8767;0.0000;0.0000;0.0000;0;0;711907
;-44;2018.8794;0.0000;0.0000;0.0000;0;0;711907
;-43;2018.8822;0.0000;0.0000;0.0000;0;0;711907
;-42;2018.8849;0.0000;0.0000;0.0000;0;0;711907
;-41;2018.8877;0.0000;0.0000;0.0000;0;0;711907
;-40;2018.8904;0.0000;0.0000;0.0000;0;0;711907
;-39;2018.8932;0.0000;0.0000;0.0000;0;0;711907
;-38;2018.8959;0.0000;0.0000;0.0000;0;0;711907
;-37;2018.8987;0.0000;0.0000;0.0000;0;0;711907
;-36;2018.9014;0.0000;0.0000;0.0000;0;0;711907
;-35;2018.9041;0.0000;0.0000;0.0000;0;0;711907
;-34;2018.9069;0.0000;0.0000;0.0000;0;0;711907
;-33;2018.9095;0.0000;0.0000;0.0000;0;0;711907
;-32;2018.9124;0.0000;0.0000;0.0000;0;0;711907
;-31;2018.9150;0.0000;0.0000;0.0000;0;0;711907
;-30;2018.9178;0.0000;0.0000;0.0000;0;0;711907
;-29;2018.9205;0.0000;0.0000;0.0000;0;0;711907
;-28;2018.9233;0.0000;0.0000;0.0000;0;0;711907
;-27;2018.9260;0.0000;0.0000;0.0000;0;0;711907
;-26;2018.9287;0.0000;0.0000;0.0000;0;0;711907
;-25;2018.9315;0.0000;0.0000;0.0000;0;0;711907
;-24;2018.9342;0.0000;0.0000;0.0000;0;0;711907
;-23;2018.9370;0.0000;0.0000;0.0000;0;0;711907
;-22;2018.9397;0.0000;0.0000;0.0000;0;0;711907
;-21;2018.9425;0.0000;0.0000;0.0000;0;0;711907
;-20;2018.9452;0.0000;0.0000;0.0000;0;0;711907
;-19;2018.9480;0.0000;0.0000;0.0000;0;0;711907
;-18;2018.9507;0.0000;0.0000;0.0000;0;0;711907
;-17;2018.9534;0.0000;0.0000;0.0000;0;0;711907
;-16;2018.9562;0.0000;0.0000;0.0000;0;0;711907
;-15;2018.9589;0.0000;0.0000;0.0000;0;0;711907
;-14;2018.9617;0.0000;0.0000;0.0000;0;0;711907
;-13;2018.9644;0.0000;0.0000;0.0000;0;0;711907
;-12;2018.9672;0.0000;0.0000;0.0000;0;0;711907
;-11;2018.9698;0.0000;0.0000;0.0000;0;0;711907
;-10;2018.9727;0.0000;0.0000;0.0000;0;0;711907
;-9;2018.9753;0.0000;0.0000;0.0000;0;0;711907
;-8;2018.9780;0.0000;0.0000;0.0000;0;0;711907
;-7;2018.9808;0.0000;0.0000;0.0000;0;0;711907
;-6;2018.9835;0.0000;0.0000;0.0000;0;0;711907
;-5;2018.9863;0.0000;0.0000;0.0000;0;0;711907
;-4;2018.9890;0.0000;0.0000;0.0000;0;0;711907
;-3;2018.9918;0.0000;0.0000;0.0000;0;0;711907
;-2;2018.9945;0.0000;0.0000;0.0000;0;0;711907
;-1;2018.9973;0.0000;0.0000;0.0000;0;0;711907
;0;2019.0000;0.0000;0.0000;0.0000;0;0;711907
;1;2019.0027;0.0000;0.0000;0.0000;0;0;711907
;2;2019.0055;0.0000;0.0000;0.0000;0;0;711907
;3;2019.0082;0.0000;0.0000;0.0000;0;0;711907
;4;2019.0110;0.0000;0.0000;0.0000;0;0;711907
;5;2019.0137;0.0000;0.0000;0.0000;0;0;711907
;6;2019.0165;0.0000;0.0000;0.0000;0;0;711907
;7;2019.0192;0.0000;0.0000;0.0000;0;0;711907
;8;2019.0220;0.0000;0.0000;0.0000;0;0;711907
;9;2019.0247;0.0000;0.0000;0.0000;0;0;711907
;10;2019.0273;0.0000;0.0000;0.0000;0;0;711907
;11;2019.0302;0.0000;0.0000;0.0000;0;0;711907
;12;2019.0328;0.0000;0.0000;0.0000;0;0;711907
;13;2019.0356;0.0000;0.0000;0.0000;0;0;711907
;14;2019.0383;0.0000;0.0000;0.0000;0;0;711907
;15;2019.0411;0.0000;0.0000;0.0000;0;0;711907
;16;2019.0438;0.0000;0.0000;0.0000;0;0;711907
;17;2019.0466;0.0000;0.0000;0.0000;0;0;711907
;18;2019.0493;0.0000;0.0000;0.0000;0;0;711907
;19;2019.0520;0.0000;0.0000;0.0000;0;0;711907
;20;2019.0548;0.0000;0.0000;0.0000;0;0;711907
;21;2019.0575;0.0000;0.0000;0.0000;0;0;711907
;22;2019.0603;0.0000;0.0000;0.0000;0;0;711907
;23;2019.0630;0.0000;0.0000;0.0000;0;0;711907
;24;2019.0658;0.0000;0.0000;0.0000;0;0;711907
;25;2019.0685;0.0000;0.0000;0.0000;0;0;711907
;26;2019.0713;0.0000;0.0000;0.0000;0;0;711907
;27;2019.0740;0.0000;0.0000;0.0000;0;0;711907
