;DOY;original;one-hour;four-hour;half-daily;daily;three-daily
;170.3194;0.0000;0.0857;0.4056;0.4260;-0.0711;-0.0771
;170.3264;0.1350;0.1308;0.4284;0.4180;-0.0753;-0.0767
;170.3333;0.1220;0.1610;0.4501;0.4100;-0.0792;-0.0762
;170.3403;0.2660;0.2236;0.4699;0.4020;-0.0830;-0.0758
;170.3472;0.2820;0.2786;0.4892;0.3940;-0.0866;-0.0753
;170.3542;0.3130;0.3484;0.5067;0.3862;-0.0901;-0.0748
;170.3611;0.4100;0.4056;0.5224;0.3783;-0.0935;-0.0743
;170.3681;0.4710;0.4766;0.5365;0.3706;-0.0967;-0.0737
;170.3750;0.5520;0.5486;0.5460;0.3629;-0.0997;-0.0732
;170.3819;0.6370;0.6056;0.5547;0.3552;-0.1026;-0.0726
;170.3889;0.6730;0.6548;0.5607;0.3476;-0.1054;-0.0720
;170.3958;0.6950;0.6894;0.5657;0.3400;-0.1081;-0.0714
;170.4028;0.7170;0.7126;0.5700;0.3325;-0.1106;-0.0707
;170.4097;0.7250;0.7316;0.5966;0.3174;-0.1171;-0.0701
;170.4167;0.7530;0.7522;0.6165;0.3022;-0.1232;-0.0694
;170.4236;0.7680;0.7694;0.6355;0.2870;-0.1288;-0.0687
;170.4306;0.7980;0.7856;0.6452;0.2719;-0.1340;-0.0680
;170.4375;0.8030;0.7956;0.6521;0.2568;-0.1386;-0.0673
;170.4444;0.8060;0.7894;0.6567;0.2418;-0.1428;-0.0666
;170.4514;0.8030;0.7774;0.6550;0.2268;-0.1464;-0.0658
;170.4583;0.7370;0.7554;0.6486;0.2121;-0.1495;-0.0651
;170.4653;0.7380;0.7300;0.6385;0.1974;-0.1521;-0.0643
;170.4722;0.6930;0.7044;0.6228;0.1829;-0.1542;-0.0636
;170.4792;0.6790;0.6898;0.6032;0.1685;-0.1558;-0.0628
;170.4861;0.6750;0.6688;0.5798;0.1544;-0.1569;-0.0620
;170.4931;0.6640;0.6494;0.5529;0.1403;-0.1576;-0.0612
