level(m)  area(m2)
 2700.0000        424
 2700.0010        428
 2700.0020        428
 2700.0029        428
 2700.0039        428
 2700.0049        428
 2700.0061        428
 2700.0071        428
 2700.0081        428
 2700.0090        428
 2700.0100        428
 2700.0110        428
 2700.0120        428
 2700.0129        428
 2700.0139        428
 2700.0149        428
 2700.0161        428
 2700.0171        428
 2700.0181        428
 2700.0190        428
 2700.0200        428
 2700.0210        428
 2700.0220        428
 2700.0229        428
 2700.0239        428
 2700.0249        428
 2700.0259        428
 2700.0271        428
 2700.0281        428
 2700.0291        428
 2700.0300        428
 2700.0310        432
 2700.0320        432
 2700.0330        432
 2700.0339        432
 2700.0349        432
 2700.0359        432
 2700.0371        432
 2700.0381        432
 2700.0391        432
 2700.0400        432
 2700.0410        432
 2700.0420        432
 2700.0430        432
 2700.0439        432
 2700.0449        432
 2700.0459        432
 2700.0471        432
 2700.0481        432
 2700.0491        432
 2700.0500        432
 2700.0510        432
 2700.0520        432
 2700.0530        432
 2700.0540        432
 2700.0549        432
 2700.0559        432
 2700.0569        432
 2700.0581        432
 2700.0591        432
 2700.0601        432
 2700.0610        432
 2700.0620        432
 2700.0630        432
 2700.0640        436
 2700.0649        436
 2700.0659        436
 2700.0669        436
 2700.0681        436
 2700.0691        436
 2700.0701        436
 2700.0710        436
 2700.0720        436
 2700.0730        436
 2700.0740        436
 2700.0750        436
 2700.0759        436
 2700.0769        436
 2700.0779        436
 2700.0791        436
 2700.0801        436
 2700.0811        436
 2700.0820        436
 2700.0830        436
 2700.0840        436
 2700.0850        436
 2700.0859        436
 2700.0869        436
 2700.0879        436
 2700.0891        436
 2700.0901        436
 2700.0911        436
 2700.0920        436
 2700.0930        436
 2700.0940        436
 2700.0950        436
 2700.0959        436
 2700.0969        436
 2700.0979        436
 2700.0991        436
 2700.1001        436
 2700.1011        436
 2700.1021        436
 2700.1030        436
 2700.1040        436
 2700.1050        436
 2700.1060        436
 2700.1069        436
 2700.1079        436
 2700.1089        436
 2700.1101        436
 2700.1111        436
 2700.1121        436
 2700.1130        436
 2700.1140        440
 2700.1150        440
 2700.1160        440
 2700.1169        440
 2700.1179        440
 2700.1189        440
 2700.1201        440
 2700.1211        440
 2700.1221        440
 2700.1230        440
 2700.1240        440
 2700.1250        440
 2700.1260        440
 2700.1270        440
 2700.1279        440
 2700.1289        440
 2700.1299        440
 2700.1311        440
 2700.1321        440
 2700.1331        440
 2700.1340        440
 2700.1350        440
 2700.1360        440
 2700.1370        440
 2700.1379        444
 2700.1389        444
 2700.1399        444
 2700.1411        444
 2700.1421        444
 2700.1431        444
 2700.1440        444
 2700.1450        444
 2700.1460        444
 2700.1470        444
 2700.1479        444
 2700.1489        444
 2700.1499        444
 2700.1509        444
 2700.1521        444
 2700.1531        444
 2700.1541        444
 2700.1550        444
 2700.1560        444
 2700.1570        444
 2700.1580        444
 2700.1589        444
 2700.1599        444
 2700.1609        444
 2700.1621        444
 2700.1631        444
 2700.1641        444
 2700.1650        444
 2700.1660        444
 2700.1670        444
 2700.1680        444
 2700.1689        444
 2700.1699        444
 2700.1709        444
 2700.1721        444
 2700.1731        444
 2700.1741        444
 2700.1750        444
 2700.1760        444
 2700.1770        444
 2700.1780        444
 2700.1790        444
 2700.1799        452
 2700.1809        452
 2700.1819        452
 2700.1831        452
 2700.1841        452
 2700.1851        452
 2700.1860        452
 2700.1870        452
 2700.1880        452
 2700.1890        452
 2700.1899        452
 2700.1909        452
 2700.1919        452
 2700.1931        452
 2700.1941        452
 2700.1951        452
 2700.1960        452
 2700.1970        452
 2700.1980        452
 2700.1990        452
 2700.2000        452
 2700.2009        452
 2700.2019        452
 2700.2029        452
 2700.2041        452
 2700.2051        452
 2700.2061        452
 2700.2070        452
 2700.2080        452
 2700.2090        452
 2700.2100        452
 2700.2109        452
 2700.2119        452
 2700.2129        452
 2700.2141        452
 2700.2151        452
 2700.2161        452
 2700.2170        452
 2700.2180        452
 2700.2190        452
 2700.2200        452
 2700.2209        452
 2700.2219        452
 2700.2229        452
 2700.2241        452
 2700.2251        452
 2700.2261        452
 2700.2271        452
 2700.2280        452
 2700.2290        452
 2700.2300        452
 2700.2310        452
 2700.2319        452
 2700.2329        452
 2700.2339        452
 2700.2351        452
 2700.2361        452
 2700.2371        452
 2700.2380        452
 2700.2390        452
 2700.2400        452
 2700.2410        452
 2700.2419        452
 2700.2429        452
 2700.2439        452
 2700.2451        452
 2700.2461        452
 2700.2471        452
 2700.2480        452
 2700.2490        452
 2700.2500        452
