level(m)  volume(m3)
 2700.0000        536
 2700.0010        537
 2700.0020        537
 2700.0029        537
 2700.0039        538
 2700.0049        538
 2700.0061        539
 2700.0071        539
 2700.0081        540
 2700.0090        540
 2700.0100        540
 2700.0110        541
 2700.0120        541
 2700.0129        542
 2700.0139        542
 2700.0149        543
 2700.0161        543
 2700.0171        544
 2700.0181        544
 2700.0190        544
 2700.0200        545
 2700.0210        545
 2700.0220        546
 2700.0229        546
 2700.0239        546
 2700.0249        547
 2700.0259        547
 2700.0271        548
 2700.0281        548
 2700.0291        549
 2700.0300        549
 2700.0310        549
 2700.0320        550
 2700.0330        550
 2700.0339        551
 2700.0349        551
 2700.0359        552
 2700.0371        552
 2700.0381        553
 2700.0391        553
 2700.0400        553
 2700.0410        554
 2700.0420        554
 2700.0430        555
 2700.0439        555
 2700.0449        555
 2700.0459        556
 2700.0471        556
 2700.0481        557
 2700.0491        557
 2700.0500        558
 2700.0510        558
 2700.0520        559
 2700.0530        559
 2700.0540        559
 2700.0549        560
 2700.0559        560
 2700.0569        561
 2700.0581        561
 2700.0591        562
 2700.0601        562
 2700.0610        562
 2700.0620        563
 2700.0630        563
 2700.0640        564
 2700.0649        564
 2700.0659        565
 2700.0669        565
 2700.0681        566
 2700.0691        566
 2700.0701        566
 2700.0710        567
 2700.0720        567
 2700.0730        568
 2700.0740        568
 2700.0750        569
 2700.0759        569
 2700.0769        569
 2700.0779        570
 2700.0791        570
 2700.0801        571
 2700.0811        571
 2700.0820        572
 2700.0830        572
 2700.0840        572
 2700.0850        573
 2700.0859        573
 2700.0869        574
 2700.0879        574
 2700.0891        575
 2700.0901        575
 2700.0911        576
 2700.0920        576
 2700.0930        576
 2700.0940        577
 2700.0950        577
 2700.0959        578
 2700.0969        578
 2700.0979        579
 2700.0991        579
 2700.1001        579
 2700.1011        580
 2700.1021        580
 2700.1030        581
 2700.1040        581
 2700.1050        582
 2700.1060        582
 2700.1069        582
 2700.1079        583
 2700.1089        583
 2700.1101        584
 2700.1111        584
 2700.1121        585
 2700.1130        585
 2700.1140        586
 2700.1150        586
 2700.1160        586
 2700.1169        587
 2700.1179        587
 2700.1189        588
 2700.1201        588
 2700.1211        589
 2700.1221        589
 2700.1230        590
 2700.1240        590
 2700.1250        590
 2700.1260        591
 2700.1270        591
 2700.1279        592
 2700.1289        592
 2700.1299        593
 2700.1311        593
 2700.1321        593
 2700.1331        594
 2700.1340        594
 2700.1350        595
 2700.1360        595
 2700.1370        596
 2700.1379        596
 2700.1389        597
 2700.1399        597
 2700.1411        597
 2700.1421        598
 2700.1431        598
 2700.1440        599
 2700.1450        599
 2700.1460        600
 2700.1470        600
 2700.1479        601
 2700.1489        601
 2700.1499        601
 2700.1509        602
 2700.1521        602
 2700.1531        603
 2700.1541        603
 2700.1550        604
 2700.1560        604
 2700.1570        605
 2700.1580        605
 2700.1589        605
 2700.1599        606
 2700.1609        606
 2700.1621        607
 2700.1631        607
 2700.1641        608
 2700.1650        608
 2700.1660        609
 2700.1670        609
 2700.1680        609
 2700.1689        610
 2700.1699        610
 2700.1709        611
 2700.1721        611
 2700.1731        612
 2700.1741        612
 2700.1750        613
 2700.1760        613
 2700.1770        613
