Year;Month;Day;Hour;Min;Sec;level(m);volume(m3);discharge(m3/s)
2017;6;22;6;0;0;2727.96139;560296;0.000
2017;6;22;6;10;0;2727.95314;559698;0.996
2017;6;22;6;20;0;2727.94513;559114;0.975
2017;6;22;6;30;0;2727.92925;557964;1.916
2017;6;22;6;40;0;2727.91404;556866;1.830
2017;6;22;6;50;0;2727.89630;555588;2.130
2017;6;22;7;0;0;2727.87630;554145;2.405
2017;6;22;7;10;0;2727.85418;552556;2.648
2017;6;22;7;20;0;2727.82995;550815;2.901
2017;6;22;7;30;0;2727.80365;548929;3.144
2017;6;22;7;40;0;2727.77862;547139;2.984
2017;6;22;7;50;0;2727.75490;545447;2.819
2017;6;22;8;0;0;2727.73237;543845;2.670
2017;6;22;8;10;0;2727.71121;542342;2.506
2017;6;22;8;20;0;2727.69162;540944;2.329
2017;6;22;8;30;0;2727.67325;539646;2.164
2017;6;22;8;40;0;2727.65598;538424;2.036
2017;6;22;8;50;0;2727.63981;537279;1.909
2017;6;22;9;0;0;2727.62409;536172;1.845
2017;6;22;9;10;0;2727.60881;535090;1.802
2017;6;22;9;20;0;2727.59427;534067;1.705
2017;6;22;9;30;0;2727.57996;533060;1.678
2017;6;22;9;40;0;2727.56590;532075;1.643
2017;6;22;9;50;0;2727.55244;531128;1.578
2017;6;22;10;0;0;2727.53933;530205;1.537
2017;6;22;10;10;0;2727.52627;529297;1.513
2017;6;22;10;20;0;2727.51357;528406;1.485
2017;6;22;10;30;0;2727.50119;527536;1.450
2017;6;22;10;40;0;2727.48973;526738;1.330
2017;6;22;10;50;0;2727.48431;526366;0.621
2017;6;22;11;0;0;2727.50015;527466;-1.833
2017;6;22;11;10;0;2727.55247;531129;-6.106
2017;6;22;11;20;0;2727.65081;538056;-11.544
2017;6;22;11;30;0;2727.80117;548755;-17.832
2017;6;22;11;40;0;2728.00412;563396;-24.402
2017;6;22;11;50;0;2728.24960;581412;-30.026
2017;6;22;12;0;0;2728.52720;602165;-34.587
2017;6;22;12;10;0;2728.83237;625445;-38.801
2017;6;22;12;20;0;2729.16402;651372;-43.212
2017;6;22;12;30;0;2729.52162;679983;-47.684
2017;6;22;12;40;0;2729.90531;711418;-52.393
2017;6;22;12;50;0;2730.31471;745781;-57.271
2017;6;22;13;0;0;2730.74414;782738;-61.596
2017;6;22;13;10;0;2731.17711;820930;-63.653
2017;6;22;13;20;0;2731.59715;858849;-63.199
2017;6;22;13;30;0;2731.99221;895296;-60.746
2017;6;22;13;40;0;2732.35304;929276;-56.633
2017;6;22;13;50;0;2732.67596;960205;-51.547
2017;6;22;14;0;0;2732.96774;988575;-47.283
2017;6;22;14;10;0;2733.23449;1014868;-43.823
2017;6;22;14;20;0;2733.47739;1039078;-40.349
2017;6;22;14;30;0;2733.69592;1061143;-36.775
2017;6;22;14;40;0;2733.88969;1080898;-32.925
2017;6;22;14;50;0;2734.05813;1098236;-28.896
2017;6;22;15;0;0;2734.20200;1113151;-24.859
2017;6;22;15;10;0;2734.32284;1125746;-20.992
2017;6;22;15;20;0;2734.42132;1136075;-17.214
2017;6;22;15;30;0;2734.49694;1144021;-13.244
2017;6;22;15;40;0;2734.55239;1149878;-9.761
2017;6;22;15;50;0;2734.59101;1153960;-6.805
2017;6;22;16;0;0;2734.61665;1156685;-4.542
2017;6;22;16;10;0;2734.63385;1158509;-3.040
2017;6;22;16;20;0;2734.64871;1160086;-2.628
2017;6;22;16;30;0;2734.66433;1161737;-2.751
2017;6;22;16;40;0;2734.68228;1163658;-3.202
2017;6;22;16;50;0;2734.70241;1165805;-3.578
2017;6;22;17;0;0;2734.72446;1168142;-3.895
2017;6;22;17;10;0;2734.74734;1170578;-4.061
2017;6;22;17;20;0;2734.76951;1172951;-3.955
2017;6;22;17;30;0;2734.79078;1175225;-3.789
2017;6;22;17;40;0;2734.81322;1177623;-3.997
2017;6;22;17;50;0;2734.83625;1180097;-4.123
2017;6;22;18;0;0;2734.85903;1182542;-4.074
2017;6;22;18;10;0;2734.88088;1184891;-3.915
2017;6;22;18;20;0;2734.90060;1187003;-3.520
2017;6;22;18;30;0;2734.91618;1188692;-2.815
2017;6;22;18;40;0;2734.92821;1189984;-2.153
2017;6;22;18;50;0;2734.93715;1190952;-1.614
2017;6;22;19;0;0;2734.94410;1191699;-1.246
2017;6;22;19;10;0;2734.94991;1192321;-1.037
2017;6;22;19;20;0;2734.95484;1192858;-0.895
2017;6;22;19;30;0;2734.95919;1193326;-0.780
2017;6;22;19;40;0;2734.96342;1193797;-0.784
2017;6;22;19;50;0;2734.96765;1194246;-0.748
2017;6;22;20;0;0;2734.97234;1194751;-0.842
2017;6;22;20;10;0;2734.97767;1195329;-0.964
2017;6;22;20;20;0;2734.98395;1196004;-1.125
2017;6;22;20;30;0;2734.99134;1196798;-1.324
2017;6;22;20;40;0;2734.99963;1197702;-1.506
2017;6;22;20;50;0;2735.00834;1198637;-1.559
2017;6;22;21;0;0;2735.01754;1199636;-1.665
2017;6;22;21;10;0;2735.02686;1200649;-1.688
2017;6;22;21;20;0;2735.03580;1201613;-1.607
2017;6;22;21;30;0;2735.04426;1202538;-1.542
2017;6;22;21;40;0;2735.05222;1203398;-1.433
2017;6;22;21;50;0;2735.05979;1204217;-1.364
2017;6;22;22;0;0;2735.06703;1205009;-1.321
2017;6;22;22;10;0;2735.07392;1205752;-1.237
2017;6;22;22;20;0;2735.08078;1206497;-1.242
2017;6;22;22;30;0;2735.08764;1207239;-1.238
2017;6;22;22;40;0;2735.09415;1207952;-1.187
2017;6;22;22;50;0;2735.10010;1208600;-1.081
2017;6;22;23;0;0;2735.10565;1209202;-1.002
2017;6;22;23;10;0;2735.11064;1209747;-0.909
2017;6;22;23;20;0;2735.11516;1210238;-0.818
2017;6;22;23;30;0;2735.11939;1210712;-0.790
2017;6;22;23;40;0;2735.12361;1211164;-0.754
2017;6;22;23;50;0;2735.12838;1211682;-0.863
2017;6;23;0;0;0;2735.13360;1212254;-0.953
2017;6;23;0;10;0;2735.13904;1212843;-0.982
2017;6;23;0;20;0;2735.14451;1213440;-0.996
2017;6;23;0;30;0;2735.14978;1214011;-0.952
2017;6;23;0;40;0;2735.15448;1214517;-0.844
2017;6;23;0;50;0;2735.15874;1214993;-0.792
2017;6;23;1;0;0;2735.16270;1215420;-0.712
2017;6;23;1;10;0;2735.16661;1215847;-0.712
2017;6;23;1;20;0;2735.17074;1216295;-0.746
2017;6;23;1;30;0;2735.17500;1216769;-0.790
2017;6;23;1;40;0;2735.17961;1217270;-0.836
2017;6;23;1;50;0;2735.18449;1217797;-0.877
2017;6;23;2;0;0;2735.18920;1218309;-0.854
2017;6;23;2;10;0;2735.19354;1218788;-0.799
2017;6;23;2;20;0;2735.19762;1219234;-0.743
2017;6;23;2;30;0;2735.20128;1219635;-0.668
2017;6;23;2;40;0;2735.20452;1219986;-0.585
2017;6;23;2;50;0;2735.20770;1220336;-0.583
2017;6;23;3;0;0;2735.21088;1220686;-0.584
2017;6;23;3;10;0;2735.21418;1221044;-0.597
2017;6;23;3;20;0;2735.21762;1221421;-0.628
2017;6;23;3;30;0;2735.22104;1221797;-0.626
2017;6;23;3;40;0;2735.22441;1222163;-0.610
2017;6;23;3;50;0;2735.22757;1222512;-0.581
2017;6;23;4;0;0;2735.23059;1222833;-0.536
2017;6;23;4;10;0;2735.23345;1223138;-0.508
