Year;Month;Day;Hour;Min;Sec;level(m);volume(m3);discharge(m3/s)
2019;6;19;7;40;0;2725.96579;826667;0.000
2019;6;19;7;50;0;2725.96486;826585;0.135
2019;6;19;8;0;0;2725.96401;826512;0.122
2019;6;19;8;10;0;2725.96222;826353;0.266
2019;6;19;8;20;0;2725.96037;826184;0.282
2019;6;19;8;30;0;2725.95820;825996;0.313
2019;6;19;8;40;0;2725.95547;825750;0.410
2019;6;19;8;50;0;2725.95225;825467;0.471
2019;6;19;9;0;0;2725.94852;825136;0.552
2019;6;19;9;10;0;2725.94421;824754;0.637
2019;6;19;9;20;0;2725.93959;824350;0.673
2019;6;19;9;30;0;2725.93498;823933;0.695
2019;6;19;9;40;0;2725.93006;823503;0.717
2019;6;19;9;50;0;2725.92513;823068;0.725
2019;6;19;10;0;0;2725.92006;822616;0.753
2019;6;19;10;10;0;2725.91483;822155;0.768
2019;6;19;10;20;0;2725.90944;821677;0.798
2019;6;19;10;30;0;2725.90406;821195;0.803
2019;6;19;10;40;0;2725.89852;820711;0.806
2019;6;19;10;50;0;2725.89313;820229;0.803
2019;6;19;11;0;0;2725.88806;819787;0.737
2019;6;19;11;10;0;2725.88313;819344;0.738
2019;6;19;11;20;0;2725.87836;818929;0.693
2019;6;19;11;30;0;2725.87375;818522;0.679
2019;6;19;11;40;0;2725.86913;818116;0.675
2019;6;19;11;50;0;2725.86467;817718;0.664
2019;6;19;12;0;0;2725.86036;817338;0.633
2019;6;19;12;10;0;2725.85636;816981;0.596
2019;6;19;12;20;0;2725.85283;816675;0.509
2019;6;19;12;30;0;2725.84975;816402;0.455
2019;6;19;12;40;0;2725.84683;816146;0.427
2019;6;19;12;50;0;2725.84436;815925;0.369
2019;6;19;13;0;0;2725.84221;815740;0.309
2019;6;19;13;10;0;2725.84021;815559;0.301
2019;6;19;13;20;0;2725.83852;815413;0.243
2019;6;19;13;30;0;2725.83729;815303;0.184
2019;6;19;13;40;0;2725.83652;815237;0.110
2019;6;19;13;50;0;2725.83621;815210;0.044
2019;6;19;14;0;0;2725.83636;815223;-0.022
2019;6;19;14;10;0;2725.83698;815276;-0.088
2019;6;19;14;20;0;2725.83806;815372;-0.160
2019;6;19;14;30;0;2725.83929;815480;-0.179
2019;6;19;14;40;0;2725.84083;815612;-0.221
2019;6;19;14;50;0;2725.84283;815792;-0.301
2019;6;19;15;0;0;2725.84498;815978;-0.309
2019;6;19;15;10;0;2725.84744;816189;-0.352
2019;6;19;15;20;0;2725.85021;816442;-0.422
2019;6;19;15;30;0;2725.85313;816702;-0.433
2019;6;19;15;40;0;2725.85621;816968;-0.443
2019;6;19;15;50;0;2725.85944;817266;-0.497
2019;6;19;16;0;0;2725.86283;817559;-0.489
2019;6;19;16;10;0;2725.86636;817864;-0.507
2019;6;19;16;20;0;2725.86990;818181;-0.529
2019;6;19;16;30;0;2725.87344;818495;-0.524
2019;6;19;16;40;0;2725.87729;818827;-0.553
2019;6;19;16;50;0;2725.88113;819172;-0.575
2019;6;19;17;0;0;2725.88513;819526;-0.589
2019;6;19;17;10;0;2725.88944;819897;-0.618
2019;6;19;17;20;0;2725.89390;820305;-0.680
2019;6;19;17;30;0;2725.89836;820698;-0.655
2019;6;19;17;40;0;2725.90313;821114;-0.693
2019;6;19;17;50;0;2725.90806;821548;-0.723
2019;6;19;18;0;0;2725.91313;822000;-0.753
2019;6;19;18;10;0;2725.91836;822461;-0.768
2019;6;19;18;20;0;2725.92375;822940;-0.799
2019;6;19;18;30;0;2725.92929;823427;-0.812
2019;6;19;18;40;0;2725.93483;823920;-0.820
2019;6;19;18;50;0;2725.94036;824416;-0.828
2019;6;19;19;0;0;2725.94606;824922;-0.843
2019;6;19;19;10;0;2725.95190;825438;-0.859
2019;6;19;19;20;0;2725.95775;825957;-0.865
2019;6;19;19;30;0;2725.96375;826490;-0.889
2019;6;19;19;40;0;2725.96990;827032;-0.903
2019;6;19;19;50;0;2725.97606;827579;-0.911
2019;6;19;20;0;0;2725.98206;828116;-0.896
2019;6;19;20;10;0;2725.98806;828650;-0.891
2019;6;19;20;20;0;2725.99390;829167;-0.861
2019;6;19;20;30;0;2725.99975;829687;-0.866
2019;6;19;20;40;0;2726.00544;830202;-0.859
2019;6;19;20;50;0;2726.01113;830698;-0.827
2019;6;19;21;0;0;2726.01667;831192;-0.824
2019;6;19;21;10;0;2726.02206;831669;-0.795
2019;6;19;21;20;0;2726.02698;832110;-0.734
2019;6;19;21;30;0;2726.03175;832534;-0.706
2019;6;19;21;40;0;2726.03621;832937;-0.673
2019;6;19;21;50;0;2726.04052;833319;-0.635
2019;6;19;22;0;0;2726.04467;833689;-0.617
2019;6;19;22;10;0;2726.04883;834055;-0.610
2019;6;19;22;20;0;2726.05267;834398;-0.572
2019;6;19;22;30;0;2726.05652;834734;-0.560
2019;6;19;22;40;0;2726.06006;835055;-0.535
2019;6;19;22;50;0;2726.06344;835358;-0.505
2019;6;19;23;0;0;2726.06667;835644;-0.476
2019;6;19;23;10;0;2726.06975;835921;-0.462
2019;6;19;23;20;0;2726.07252;836172;-0.418
2019;6;19;23;30;0;2726.07513;836399;-0.379
2019;6;19;23;40;0;2726.07744;836599;-0.334
2019;6;19;23;50;0;2726.07944;836788;-0.315
2019;6;20;0;0;0;2726.08098;836922;-0.223
2019;6;20;0;10;0;2726.08206;837025;-0.173
2019;6;20;0;20;0;2726.08267;837079;-0.089
2019;6;20;0;30;0;2726.08283;837092;-0.022
2019;6;20;0;40;0;2726.08236;837052;0.067
2019;6;20;0;50;0;2726.08159;836985;0.112
2019;6;20;1;0;0;2726.08036;836868;0.195
2019;6;20;1;10;0;2726.07867;836721;0.245
2019;6;20;1;20;0;2726.07667;836543;0.298
2019;6;20;1;30;0;2726.07436;836332;0.351
2019;6;20;1;40;0;2726.07175;836105;0.379
2019;6;20;1;50;0;2726.06898;835854;0.418
2019;6;20;2;0;0;2726.06606;835595;0.432
2019;6;20;2;10;0;2726.06313;835331;0.440
2019;6;20;2;20;0;2726.06021;835068;0.438
2019;6;20;2;30;0;2726.05729;834818;0.417
2019;6;20;2;40;0;2726.05452;834567;0.418
2019;6;20;2;50;0;2726.05175;834318;0.415
2019;6;20;3;0;0;2726.04883;834055;0.438
2019;6;20;3;10;0;2726.04606;833813;0.403
2019;6;20;3;20;0;2726.04329;833559;0.422
2019;6;20;3;30;0;2726.04036;833305;0.424
2019;6;20;3;40;0;2726.03759;833056;0.416
2019;6;20;3;50;0;2726.03483;832810;0.409
2019;6;20;4;0;0;2726.03190;832547;0.438
2019;6;20;4;10;0;2726.02883;832271;0.461
2019;6;20;4;20;0;2726.02559;831978;0.487
2019;6;20;4;30;0;2726.02221;831683;0.492
2019;6;20;4;40;0;2726.01867;831375;0.513
2019;6;20;4;50;0;2726.01498;831042;0.555
2019;6;20;5;0;0;2726.01129;830711;0.551
2019;6;20;5;10;0;2726.00759;830382;0.550
2019;6;20;5;20;0;2726.00359;830030;0.586
2019;6;20;5;30;0;2725.99959;829673;0.595
2019;6;20;5;40;0;2725.99544;829304;0.615
2019;6;20;5;50;0;2725.99113;828917;0.645
2019;6;20;6;0;0;2725.98683;828535;0.637
2019;6;20;6;10;0;2725.98252;828156;0.631
2019;6;20;6;20;0;2725.97821;827774;0.637
2019;6;20;6;30;0;2725.97406;827405;0.615
2019;6;20;6;40;0;2725.96990;827032;0.621
2019;6;20;6;50;0;2725.96575;826663;0.615
2019;6;20;7;0;0;2725.96175;826312;0.584
2019;6;20;7;10;0;2725.95790;825970;0.571
2019;6;20;7;20;0;2725.95421;825642;0.547
2019;6;20;7;30;0;2725.95083;825344;0.497
