year,Q_max,Q_max_date,is_glof
1944,14.1,1944-09-02,False
1945,17.0,1945-07-25,False
1946,13.8,1946-07-20,False
1947,12.0,1947-07-09,False
1948,11.4,1948-09-04,False
1949,8.73,1949-08-30,False
1950,10.6,1950-08-02,False
1951,12.2,1951-07-16,False
1952,9.84,1952-06-18,False
1953,10.2,1953-07-19,False
1954,10.5,1954-08-07,False
1955,11.2,1955-08-31,False
1956,10.8,1956-07-11,False
1957,10.8,1957-06-22,False
1958,9.71,1958-07-17,False
1959,13.0,1959-07-15,False
1960,8.9,1960-06-20,False
1961,10.7,1961-08-11,False
1962,9.75,1962-08-07,False
1963,9.92,1963-06-28,False
1964,8.88,1964-07-23,False
1965,11.7,1965-07-25,False
1966,8.75,1966-06-19,False
1967,11.1,1967-08-03,False
1968,9.65,1968-07-11,False
1969,10.2,1969-08-17,False
1970,9.86,1970-06-28,False
1971,8.2,1971-08-11,False
1972,8.03,1972-08-14,False
1973,9.22,1973-07-17,False
1974,9.356,1974-06-29,False
1975,10.681,1975-07-18,False
1976,10.086,1976-07-20,False
1977,8.442,1977-07-31,False
1978,12.232,1978-08-08,False
1979,9.272,1979-08-01,False
1980,12.582,1980-08-16,False
1981,9.402,1981-07-18,False
1982,18.646,1982-07-25,False
1983,8.881,1983-09-02,False
1984,8.687,1984-07-13,False
1985,9.984,1985-08-06,False
1986,12.75,1986-07-06,False
1987,13.02,1987-07-18,False
1988,9.01,1988-08-20,False
1989,11.272,1989-07-27,False
1990,10.287,1990-07-01,False
1991,13.193,1991-07-13,False
1992,9.603,1992-08-28,False
1993,11.517,1993-06-23,False
1994,14.125,1994-06-27,False
1995,13.274,1995-07-15,False
1996,11.003,1996-08-08,False
1997,12.913,1997-09-13,False
1998,15.175,1998-08-23,False
1999,11.554,1999-06-03,False
2000,11.439,2000-10-15,False
2001,9.119,2001-07-16,False
2002,13.881,2002-07-18,False
2003,10.362,2003-06-13,False
2004,8.158,2004-07-24,False
2005,17.056,2005-08-22,False
2006,8.645,2006-06-25,False
2007,11.193,2007-07-22,False
2008,11.081,2008-08-12,False
2009,11.984,2009-07-17,False
2010,12.627,2010-06-11,False
2011,15.078,2011-07-12,True
2012,14.565,2012-07-16,True
2013,14.986,2013-08-02,True
2014,21.087,2014-08-11,True
2015,10.105,2015-08-01,True
2016,13.966,2016-09-05,False
2017,13.944,2017-07-20,True
2018,19.236,2018-07-28,True
2019,10.802,2019-07-29,False
2020,9.885,2020-08-08,False
