year,Q_max,Q_max_date,is_glof
1974,12.106,1974-06-29,False
1975,18.102,1975-06-27,False
1976,15.962,1976-07-20,False
1977,16.125,1977-08-07,False
1978,18.364,1978-08-08,False
1979,14.091,1979-08-03,False
1980,14.718,1980-08-08,False
1981,21.02,1981-10-12,False
1982,34.672,1982-07-24,False
1983,10.504,1983-09-02,False
1984,10.167,1984-08-01,False
1985,11.348,1985-08-06,False
1986,29.61,1986-07-06,False
1987,15.133,1987-07-18,False
1988,14.054,1988-08-11,False
1989,33.687,1989-07-24,False
1990,16.906,1990-08-06,False
1991,16.854,1991-07-13,False
1992,32.353,1992-08-07,False
1993,16.317,1993-09-24,False
1994,16.06,1994-08-17,False
1995,15.19,1995-07-03,False
1996,14.799,1996-08-07,False
1997,17.283,1997-09-13,False
1998,28.064,1998-08-23,False
1999,23.25,1999-06-02,False
2000,22.314,2000-10-15,False
2001,18.226,2001-07-15,False
2002,19.995,2002-07-18,False
2003,18.577,2003-06-08,False
2004,16.223,2004-08-07,False
2005,23.344,2005-08-22,False
2006,9.888,2006-07-05,False
2007,14.007,2007-08-08,False
2008,18.298,2008-08-12,False
2009,29.791,2009-07-17,False
2010,19.436,2010-06-29,False
2011,27.089,2011-07-11,True
2012,19.118,2012-07-15,True
2013,20.585,2013-08-02,True
2014,40.475,2014-08-01,True
2015,15.549,2015-08-14,True
2016,27.165,2016-08-28,False
2017,27.95,2017-07-10,True
2018,56.901,2018-07-27,True
2019,22.987,2019-07-03,False
2020,27.98,2020-07-30,False
2021,15.104,2021-07-13,False
2022,14.388,2022-08-05,False
2023,14.013,2023-07-13,False
2024,14.081,2024-06-21,False
2025,17.391,2025-06-30,False
