Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1944-01-01 - 2025-12-31
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Monatsmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-01-01 00:00:00;1944-01-01 12:00:00;0.220;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-02-01 00:00:00;1944-02-03 12:00:00;0.130;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-03-01 00:00:00;1944-03-31 12:00:00;0.130;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-04-01 00:00:00;1944-04-16 12:00:00;2.570;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-05-01 00:00:00;1944-05-29 12:00:00;6.420;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-06-01 00:00:00;1944-06-30 12:00:00;12.800;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-07-01 00:00:00;1944-07-04 12:00:00;14.100;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-08-01 00:00:00;1944-08-31 12:00:00;22.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-09-01 00:00:00;1944-09-02 12:00:00;23.000;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-10-01 00:00:00;1944-10-18 12:00:00;5.190;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-11-01 00:00:00;1944-11-23 12:00:00;9.230;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1944-12-01 00:00:00;1944-12-05 12:00:00;1.020;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-01-01 00:00:00;1945-01-01 12:00:00;0.130;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-02-01 00:00:00;1945-02-12 12:00:00;1.560;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-03-01 00:00:00;1945-03-31 12:00:00;1.020;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-04-01 00:00:00;1945-04-18 12:00:00;4.420;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-05-01 00:00:00;1945-05-20 12:00:00;11.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-06-01 00:00:00;1945-06-27 12:00:00;15.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-07-01 00:00:00;1945-07-25 12:00:00;17.700;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-08-01 00:00:00;1945-08-08 12:00:00;16.100;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-09-01 00:00:00;1945-09-01 12:00:00;14.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-10-01 00:00:00;1945-10-30 12:00:00;16.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-11-01 00:00:00;1945-11-01 12:00:00;2.050;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1945-12-01 00:00:00;1945-12-28 12:00:00;1.980;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-01-01 00:00:00;1946-01-01 12:00:00;0.280;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-02-01 00:00:00;1946-02-07 12:00:00;0.750;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-03-01 00:00:00;1946-03-30 12:00:00;1.580;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-04-01 00:00:00;1946-04-04 12:00:00;1.760;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-05-01 00:00:00;1946-05-13 12:00:00;4.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-06-01 00:00:00;1946-06-10 12:00:00;14.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-07-01 00:00:00;1946-07-20 12:00:00;18.250;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-08-01 00:00:00;1946-08-11 12:00:00;15.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-09-01 00:00:00;1946-09-07 12:00:00;17.700;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-10-01 00:00:00;1946-10-02 12:00:00;3.070;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-11-01 00:00:00;1946-11-01 12:00:00;0.400;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1946-12-01 00:00:00;1946-12-02 12:00:00;0.350;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-01-01 00:00:00;1947-01-12 12:00:00;0.690;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-02-01 00:00:00;1947-02-24 12:00:00;0.190;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-03-01 00:00:00;1947-03-18 12:00:00;1.310;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-04-01 00:00:00;1947-04-29 12:00:00;2.440;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-05-01 00:00:00;1947-05-31 12:00:00;6.020;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-06-01 00:00:00;1947-06-30 12:00:00;12.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-07-01 00:00:00;1947-07-09 12:00:00;17.300;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-08-01 00:00:00;1947-08-22 12:00:00;13.600;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-09-01 00:00:00;1947-09-26 12:00:00;18.500;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-10-01 00:00:00;1947-10-11 12:00:00;2.110;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-11-01 00:00:00;1947-11-11 12:00:00;2.890;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1947-12-01 00:00:00;1947-12-29 12:00:00;1.120;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-01-01 00:00:00;1948-01-03 12:00:00;1.480;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-02-01 00:00:00;1948-02-04 12:00:00;0.870;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-03-01 00:00:00;1948-03-17 12:00:00;0.980;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-04-01 00:00:00;1948-04-23 12:00:00;1.080;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-05-01 00:00:00;1948-05-18 12:00:00;3.650;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-06-01 00:00:00;1948-06-18 12:00:00;11.200;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Monatsmaxima;m3/s;Simme;1948-07-01 00:00:00;1948-07-29 12:00:00;9.200;Freigegeben, validierte Daten
