Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1974-01-01 - 2026-05-16
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-01 00:00:00;1974-01-02 00:00:00;0.248;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-02 00:00:00;1974-01-02 21:30:10;0.250;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-03 00:00:00;1974-01-04 00:00:00;0.249;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-04 00:00:00;1974-01-04 01:49:25;0.250;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-05 00:00:00;1974-01-05 21:02:50;0.246;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-06 00:00:00;1974-01-06 15:12:55;0.254;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-07 00:00:00;1974-01-07 23:48:25;0.258;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-08 00:00:00;1974-01-08 00:00:00;0.258;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-09 00:00:00;1974-01-09 00:00:00;0.241;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-10 00:00:00;1974-01-10 00:00:00;0.238;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-11 00:00:00;1974-01-12 00:00:00;0.323;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-12 00:00:00;1974-01-12 05:45:35;0.326;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-13 00:00:00;1974-01-13 00:00:00;0.268;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-14 00:00:00;1974-01-14 03:57:35;0.262;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-15 00:00:00;1974-01-16 00:00:00;0.268;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-16 00:00:00;1974-01-17 00:00:00;0.302;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-17 00:00:00;1974-01-17 00:31:40;0.322;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-18 00:00:00;1974-01-18 00:00:00;0.295;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-19 00:00:00;1974-01-19 00:00:00;0.272;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-20 00:00:00;1974-01-20 00:00:00;0.266;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-21 00:00:00;1974-01-21 01:29:15;0.270;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-22 00:00:00;1974-01-22 00:00:00;0.258;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-23 00:00:00;1974-01-23 00:00:00;0.256;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-24 00:00:00;1974-01-24 00:00:00;0.249;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-01-25 00:00:00;1974-01-26 00:00:00;0.247;Freigegeben, validierte Daten
